1,4
2,4
3,4
4,2
4,4
4,8
4,9
5,2
6,2
6,3
6,4
6,8
6,9
7,4
8,4
8,2
9,2
9,3
9,4
9,8
9,9
10,2
10,3
10,4
10,8
10,9
11,2
11,3
11,4
11,8
11,9
12,4
13,2
13,3
14,2
14,4
14,8
14,9
15,2
15,3
15,4
15,8
15,9
16,4
17,2
17,3
17,4
17,8
17,9
18,2
18,8
18,9
19,2
19,3
19,4
19,8
19,9
20,2
20,4
21,2
21,3
21,4
21,8
21,9
22,2
22,3
22,4
22,8
22,9
23,2
23,3
23,4
23,8
23,9
24,2
24,3
24,4
24,8
24,9
25,2
25,3
25,4
25,8
25,9
26,2
27,2
27,3
27,4
27,8
27,9
28,2
28,3
28,4
28,8
28,9
29,2
29,3
29,4
29,8
29,9
30,2
30,3
30,4
31,2
32,2
32,4
33,2
33,3
33,4
34,2
34,4
35,4
36,2
36,3
36,4
36,8
36,9
37,3
38,3
39,4
